Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year
Devin Cannady,PG,25,ORL,5,145,8.6,.531,.841,.159,0.7,3.7,2.2,10.0,1.7,1.9,9.6,15.5,0.0,0.1,0.1,.033,-2.8,-0.4,-3.2,0.0,2022
Clint Capela,C,27,ATL,74,2042,21.4,.604,.002,.280,15.0,31.9,23.5,6.6,1.3,4.1,6.1,15.5,5.6,2.7,8.3,.195,2.1,-0.1,2.0,2.1,2022
Vernon Carey Jr.,C,20,TOT,7,44,15.8,.534,.000,1.000,19.9,9.8,14.8,0.0,2.2,1.9,13.8,21.6,0.0,0.0,0.1,.068,-3.0,-4.5,-7.5,-0.1,2022
Vernon Carey Jr.,C,20,CHO,4,17,17.2,.546,.000,.500,18.4,12.6,15.6,0.0,2.8,0.0,12.0,20.8,0.0,0.0,0.0,.099,-2.8,-5.2,-8.0,0.0,2022
Vernon Carey Jr.,C,20,WAS,3,27,15.0,.526,.000,1.429,20.8,8.1,14.4,0.0,1.8,3.1,14.9,22.1,0.0,0.0,0.0,.049,-3.2,-4.1,-7.3,0.0,2022
Jevon Carter,PG,26,TOT,66,905,9.6,.531,.672,.071,1.7,11.2,6.6,14.0,1.3,1.4,11.5,14.0,0.5,0.7,1.2,.062,-1.8,-0.4,-2.2,-0.1,2022
Jevon Carter,PG,26,BRK,46,552,6.5,.462,.730,.057,1.8,11.2,6.6,10.9,1.2,1.6,12.7,15.9,-0.4,0.4,-0.1,-0.005,-3.6,-0.9,-4.4,-0.3,2022
Jevon Carter,PG,26,MIL,20,353,14.4,.679,.544,.101,1.5,11.2,6.5,18.8,1.4,1.1,8.8,10.9,0.9,0.3,1.2,.167,0.9,0.3,1.2,0.3,2022
Wendell Carter Jr.,PF,22,ORL,62,1852,18.4,.601,.313,.303,7.9,29.1,18.5,15.4,0.9,2.1,13.1,20.9,2.6,2.4,5.0,.129,1.0,0.6,1.6,1.7,2022
Alex Caruso,SG,27,CHI,41,1147,11.7,.528,.492,.285,3.3,11.2,7.3,18.5,3.0,1.1,16.5,13.3,0.7,1.2,2.0,.082,-2.2,2.3,0.2,0.6,2022
Willie Cauley-Stein,C,28,TOT,20,183,8.3,.474,.057,.057,7.9,16.4,12.2,7.5,1.7,1.5,16.3,10.6,0.0,0.3,0.2,.066,-4.1,1.1,-3.0,0.0,2022
Willie Cauley-Stein,C,28,DAL,18,177,8.4,.474,.057,.057,8.2,15.7,11.9,7.0,1.7,1.5,16.3,10.9,0.0,0.2,0.2,.063,-4.1,0.9,-3.1,0.0,2022
Willie Cauley-Stein,C,28,PHI,2,6,4.2,,,,0.0,36.6,18.6,20.4,0.0,0.0,,0.0,0.0,0.0,0.0,.136,-4.6,5.8,1.2,0.0,2022
