Season,Team Acquiring,Acquired Player,Team Losing,Acquisition Type,Acquiring GM,Losing GM,Year 2,Helper,AAV
2022,IND,Tyrese Haliburton,SAC,Trade,Chad Buchanan,Monte McNair,2023,2022Tyrese Haliburton,4.2
2022,IND,Buddy Hield,SAC,Trade,Chad Buchanan,Monte McNair,2023,2022Buddy Hield,23.1
2022,IND,Tristan Thompson,SAC,Trade,Chad Buchanan,Monte McNair,2023,2022Tristan Thompson,9.7
2022,SAC,Domantas Sabonis,IND,Trade,Monte McNair,Chad Buchanan,2023,2022Domantas Sabonis,18.5
2022,SAC,Jeremy Lamb,IND,Trade,Monte McNair,Chad Buchanan,2023,2022Jeremy Lamb,10.5
2022,SAC,Justin Holiday,IND,Trade,Monte McNair,Chad Buchanan,2023,2022Justin Holiday,6
2022,NOP,CJ McCollum,POR,Trade,Trajan Langdon,Joe Cronin,2023,2022CJ McCollum,30.8
2022,NOP,Larry Nance Jr.,POR,Trade,Trajan Langdon,Joe Cronin,2023,2022Larry Nance Jr.,9.7
2022,NOP,Tony Snell,POR,Trade,Trajan Langdon,Joe Cronin,2023,2022Tony Snell,2.4
2022,POR,Nickeil Alexander-Walker,NOP,Trade,Joe Cronin,Trajan Langdon,2023,2022Nickeil Alexander-Walker,3.2
2022,POR,Josh Hart,NOP,Trade,Joe Cronin,Trajan Langdon,2023,2022Josh Hart,12
2022,POR,Tomas Satoransky,NOP,Trade,Joe Cronin,Trajan Langdon,2023,2022Tomas Satoransky,3.3
2022,OKC,KZ Okpala,MIA,Trade,Sam Presti,Andy Elisburg,2023,2022KZ Okpala,1.8
2022,BOS,Daniel Theis,HOU,Trade,Brad Stevens,Rafael Stone,2023,2022Daniel Theis,8.6
2022,HOU,Dennis Schröder,BOS,Trade,Rafael Stone,Brad Stevens,2023,2022Dennis Schröder,5.9
2022,HOU,Enes Kanter Freedom,BOS,Trade,Rafael Stone,Brad Stevens,2023,2022Enes Kanter Freedom,2.6
2022,HOU,Bruno Fernando,BOS,Trade,Rafael Stone,Brad Stevens,2023,2022Bruno Fernando,1.8
2022,BRK,Seth Curry,PHI,Trade,Sean Marks,Daryl Morey,2023,2022Seth Curry,8.5
2022,BRK,Andre Drummond,PHI,Trade,Sean Marks,Daryl Morey,2023,2022Andre Drummond,2.4
2022,BRK,Ben Simmons,PHI,Trade,Sean Marks,Daryl Morey,2023,2022Ben Simmons,33
2022,PHI,James Harden,BRK,Trade,Daryl Morey,Sean Marks,2023,2022James Harden,44.3
2022,PHI,Paul Millsap,BRK,Trade,Daryl Morey,Sean Marks,2023,2022Paul Millsap,2.6
2022,CHO,Montrezl Harrell,WAS,Trade,Mitch Kupchak,Tommy Sheppard,2023,2022Montrezl Harrell,2.4
2022,DAL,Davis Bertans,WAS,Trade,Nico Harrison,Tommy Sheppard,2023,2022Davis Bertans,16
2022,DAL,Spencer Dinwiddie,WAS,Trade,Nico Harrison,Tommy Sheppard,2023,2022Spencer Dinwiddie,18
2022,WAS,Kristaps Porziņģis,DAL,Trade,Tommy Sheppard,Nico Harrison,2023,2022Kristaps Porziņģis,33.8
2022,IND,Jalen Smith,PHO,Trade,Chad Buchanan,James Jones,2023,2022Jalen Smith,4.6
2022,PHO,Torrey Craig,IND,Trade,James Jones,Chad Buchanan,2023,2022Torrey Craig,5.1
2022,PHO,Aaron Holiday,WAS,Trade,James Jones,Tommy Sheppard,2023,2022Aaron Holiday,1.9
2022,SAS,Goran Dragić,TOR,Trade,Brian Wright,Bobby Webster,2023,2022Goran Dragić,2.9
