Pk,Tm,Player,Year,Rookie Year,Sophomore Year,Third Year
3,BOS,Jayson Tatum,2017,2018,2019,2020
4,PHO,Josh Jackson,2017,2018,2019,2020
5,SAC,De'Aaron Fox,2017,2018,2019,2020
6,ORL,Jonathan Isaac,2017,2018,2019,2020
7,MIN,Lauri Markkanen,2017,2018,2019,2020
8,NYK,Frank Ntilikina,2017,2018,2019,2020
9,DAL,Dennis Smith Jr.,2017,2018,2019,2020
10,SAC,Zach Collins,2017,2018,2019,2020
11,CHO,Malik Monk,2017,2018,2019,2020
12,DET,Luke Kennard,2017,2018,2019,2020
13,DEN,Donovan Mitchell,2017,2018,2019,2020
14,MIA,Bam Adebayo,2017,2018,2019,2020
15,POR,Justin Jackson,2017,2018,2019,2020
16,CHI,Justin Patton,2017,2018,2019,2020
17,MIL,D.J. Wilson,2017,2018,2019,2020
18,IND,T.J. Leaf,2017,2018,2019,2020
19,ATL,John Collins,2017,2018,2019,2020
20,POR,Harry Giles,2017,2018,2019,2020
21,OKC,Terrance Ferguson,2017,2018,2019,2020
22,BRK,Jarrett Allen,2017,2018,2019,2020
23,TOR,OG Anunoby,2017,2018,2019,2020
24,UTA,Tyler Lydon,2017,2018,2019,2020
25,ORL,AnÅ¾ejs PaseÄÅiks,2017,2018,2019,2020
26,POR,Caleb Swanigan,2017,2018,2019,2020
27,BRK,Kyle Kuzma,2017,2018,2019,2020
28,LAL,Tony Bradley,2017,2018,2019,2020
29,SAS,Derrick White,2017,2018,2019,2020
30,UTA,Josh Hart,2017,2018,2019,2020
,,Round 2,2017,2018,2019,2020
Pk,Tm,Player,2017,2018,2019,2020
31,CHO,Frank Jackson,2017,2018,2019,2020
32,PHO,Davon Reed,2017,2018,2019,2020
33,ORL,Wes Iwundu,2017,2018,2019,2020
34,SAC,Frank Mason III,2017,2018,2019,2020
35,ORL,Ivan Rabb,2017,2018,2019,2020
36,PHI,Jonah Bolden,2017,2018,2019,2020
37,BOS,Semi Ojeleye,2017,2018,2019,2020
38,CHI,Jordan Bell,2017,2018,2019,2020
39,PHI,Jawun Evans,2017,2018,2019,2020
40,NOP,Dwayne Bacon,2017,2018,2019,2020
41,ATL,Tyler Dorsey,2017,2018,2019,2020
42,UTA,Thomas Bryant,2017,2018,2019,2020
